,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC504_SS8614_S4_R1_001_unknown,20,29995,791,645,468,411,744,907,563,774,586,859,548,1246,502,852,561,264,791,372,646,364,414,814,1131,376,502,485,1589,260,535,939,602,543,537,801,1764,783,861,650,522,864,652,484,204,659,365,658,383,323,462,461,902,571,303,525,690,598,462,263,541,273,418,716,214,281,540,659,397,314,593,745,825,983,971,640,763,1397
20210204_MNSC505_SS8614_S5_R1_001_F1,0,126784,1049,824,749,628,1169,2033,1187,1834,1355,2103,1260,2962,3128,4262,3582,1576,5363,2226,1598,906,856,1693,2382,941,1111,1027,3541,543,1246,2491,1304,1161,1098,2042,3836,1657,1973,1393,1297,2072,1726,1056,429,1295,901,1540,859,673,1069,1299,1990,1298,834,1203,1629,1359,1074,607,1114,565,913,1839,523,629,1380,1582,871,953,1393,1752,2559,3072,3016,1816,2371,4404
20210204_MNSC505_SS8614_S5_R1_001_F2,270,120278,2235,2014,1257,1310,2319,3469,1389,2078,1424,2343,1366,3277,1078,1449,1354,640,1879,861,1747,962,962,1940,2955,1129,1290,1252,3951,702,1342,2525,1471,1407,1249,1925,4621,1942,2190,1685,1453,2419,2362,1208,523,1335,1119,1871,962,851,1129,1424,2381,1552,843,1360,1738,1500,1292,804,1361,541,1077,2092,592,704,1731,2159,1256,1234,1825,2268,902,1028,986,955,857,1482
20210204_MNSC505_SS8614_S5_R1_001_F3,0,109957,686,451,398,405,648,1433,1153,1719,1119,1980,1147,2809,2534,3526,3003,1432,4557,2078,1263,716,816,1514,2304,705,933,1090,3147,550,1059,1857,1208,1103,1040,1839,3551,1511,1796,1346,1173,1672,1278,1014,416,1172,829,1264,808,584,857,832,1915,1155,639,956,1307,1231,900,503,937,457,735,1322,430,578,1363,1864,1067,903,1636,1942,2318,2583,2464,1595,2009,3653
20210204_MNSC505_SS8614_S5_R1_001_F4,0,102262,558,361,256,360,487,1189,981,1473,955,1638,992,2191,2740,3935,3330,1620,5087,2279,1193,650,709,1278,2006,660,887,766,2742,447,896,1589,994,980,872,1516,3092,1223,1576,1145,913,1373,1060,835,331,1036,659,1093,676,460,776,674,1560,964,604,800,1224,1039,758,502,844,381,637,1246,423,475,1227,1544,902,773,1355,1543,2549,2972,2848,1633,2433,4155
20210204_MNSC505_SS8614_S5_R1_001_F5,0,115256,1002,732,693,564,901,1758,1101,1683,1274,1981,1157,2797,2706,3626,3053,1393,4429,2319,1377,877,871,1628,2272,883,1031,967,3222,622,1123,2118,1134,1115,1011,1806,3671,1448,1799,1482,1127,1864,1599,1020,441,1301,801,1485,785,611,888,1138,1727,1083,662,1189,1414,1166,1081,613,1069,478,840,1653,522,580,1309,1540,731,809,1451,1545,2150,2762,2465,1518,2140,3829
20210204_MNSC505_SS8614_S5_R1_001_F6,0,134028,2466,2074,1502,1331,2631,3835,1411,2368,1600,2607,1610,3611,1157,1392,1417,671,2001,979,1912,1094,1129,2385,3126,1205,1397,1269,4201,769,1401,2918,1891,1559,1398,2355,5062,2178,2477,1804,1527,2755,2576,1353,644,1998,1232,2066,1116,965,1222,1654,2642,1611,1055,1499,2174,1760,1632,859,1518,587,1265,2578,711,846,1907,2328,1308,1249,2150,2435,827,1082,902,1037,798,1381
20210204_MNSC505_SS8614_S5_R1_001_F7,0,114958,600,498,399,404,634,1447,1099,1787,1134,1805,1216,2514,2895,3967,3355,1597,5152,2240,1343,807,812,1626,2151,861,1097,970,3345,590,1054,1946,1257,1127,1047,1841,3648,1533,1926,1405,1105,1821,1206,980,414,1381,782,1278,801,620,818,800,1746,1132,715,927,1333,1232,834,496,992,475,730,1387,482,535,1426,1758,743,904,1450,1990,2549,3105,2858,1779,2216,4036
20210204_MNSC505_SS8614_S5_R1_001_F8,0,133869,640,513,390,398,627,1619,1225,1924,1210,2043,1266,2845,3729,5253,4459,2117,6960,2921,1415,837,799,1735,2342,813,1159,1054,3490,563,1126,2083,1337,1183,1142,2035,4022,1633,1927,1450,1189,1738,1199,1150,496,1642,854,1403,825,633,945,931,2090,1375,647,1070,1442,1300,902,629,984,509,799,1570,467,768,1549,1855,1157,942,1709,1922,3516,4195,3724,2192,2907,5558
20210204_MNSC505_SS8614_S5_R1_001_unknown,14,27032,414,334,248,213,428,772,415,664,434,727,468,1014,947,1212,1064,502,1582,696,516,287,303,632,872,311,394,380,1203,213,405,767,519,382,437,700,1396,596,692,520,459,676,536,399,172,511,343,542,283,259,349,406,762,503,277,435,558,490,394,206,390,185,314,580,187,240,505,565,331,312,544,629,764,904,856,544,723,1309
