,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC510_SS8614_S10_R1_001_F2,313,168419,1225,648,617,581,869,2103,1961,3306,2320,3572,2150,1370,2112,2848,2364,1143,3795,1626,2491,1486,1745,2924,4408,1593,1999,1916,5892,1041,2039,3510,2375,2321,2036,3097,4068,2980,3463,2671,2039,3034,2091,1805,770,1959,1366,2475,1380,1038,1730,1618,1239,2043,1232,1789,2532,2262,1636,1074,1889,860,1402,2524,837,1151,3008,3839,2040,2007,3351,3788,0,580,533,213,0,0
20210204_MNSC510_SS8614_S10_R1_001_F3,0,135968,1469,1302,734,926,1597,2255,1399,2170,1339,2140,1184,834,1665,2459,1997,911,3024,1432,1484,822,999,1738,2525,914,1197,1176,3860,584,1239,2304,1432,1398,1241,1991,2460,1705,2038,1566,1189,1737,1337,1126,512,1387,925,1472,896,606,1104,955,800,1342,765,1279,1449,1385,1018,613,1133,566,813,1550,443,654,2336,3167,1773,1634,2753,2983,0,3799,3400,1587,0,0
20210204_MNSC510_SS8614_S10_R1_001_F4,0,166255,2069,1989,1236,1389,2364,3788,1815,2901,1860,3185,1743,1165,1679,2466,1990,968,2943,1427,2026,1123,1482,2539,3527,1301,1708,1646,5447,929,1754,3147,1931,1981,1787,2814,3452,2653,2905,2188,1731,2560,1778,1661,761,1944,1312,2027,1231,953,1502,1275,1151,1927,1095,1534,2237,2066,1331,816,1539,804,1107,2221,685,975,2131,2716,1600,1526,2525,2991,0,3409,2969,1553,0,0
20210204_MNSC510_SS8614_S10_R1_001_F5,0,131702,1353,1024,923,729,1481,2606,1624,2553,1719,2822,1590,1112,780,984,837,331,1257,667,2013,1150,1299,2354,3531,1146,1564,1500,4860,823,1643,2895,1842,1758,1678,2523,3107,2322,2710,1930,1570,2378,1705,1506,699,1907,1247,1794,1126,882,1401,1299,1071,1660,974,1554,1934,1742,1295,759,1487,687,1063,2054,594,940,859,924,547,568,856,1616,0,2215,2065,916,0,0
20210204_MNSC510_SS8614_S10_R1_001_F6,0,146824,1252,675,583,473,857,2159,1795,2810,2009,3140,1897,1255,1672,2229,1985,954,3092,1333,2035,1206,1399,2615,3705,1306,1818,1710,5441,844,1820,3166,2022,1986,1713,2849,3665,2687,2934,2349,1827,3084,1866,1644,709,2375,1287,2236,1216,936,1599,1425,1044,1822,1161,1624,2291,2021,1481,872,1646,787,1135,2358,689,1044,2451,3063,1650,1564,2585,3069,0,295,301,143,0,0
20210204_MNSC510_SS8614_S10_R1_001_F7,0,148304,1818,1454,811,1146,1925,2499,1405,2313,1554,2454,1449,970,1544,2004,1737,804,2711,1228,1693,949,1064,2071,2749,1061,1364,1311,4365,698,1385,2478,1728,1512,1408,2241,2849,2048,2252,1769,1432,2096,1426,1291,555,1907,917,1676,1009,769,1198,1072,877,1378,932,1277,1709,1634,1125,691,1173,654,871,1716,489,747,1944,2575,1092,1332,2339,2633,0,5353,4861,2131,0,0
20210204_MNSC510_SS8614_S10_R1_001_F8,0,174550,3322,2960,1537,1984,3666,3768,1566,2546,1609,2620,1590,1070,1537,2334,1848,841,2929,1308,1811,1050,1176,2301,3048,1140,1580,1436,4724,743,1582,2570,1773,1721,1616,2393,3034,2255,2541,1852,1546,2198,1569,1261,604,2183,1048,1854,1082,883,1318,1143,974,1669,977,1432,1898,1791,1117,777,1370,641,1016,1910,551,921,2171,2866,1583,1550,2532,3007,0,6208,5876,2602,0,0
20210204_MNSC510_SS8614_S10_R1_001_unknown,2,5783,577,560,303,368,648,948,576,922,604,1011,587,380,526,700,578,312,881,386,689,353,437,916,1200,405,546,579,1712,290,612,1056,709,615,553,898,1102,923,900,719,572,878,591,510,198,707,407,672,424,314,466,460,318,599,348,531,713,650,502,298,501,234,399,789,237,299,546,741,454,345,636,820,10,1071,951,400,52,9
20210204_MNSC511_SS8614_S11_R1_001_F1,0,168959,1582,1197,724,780,1717,2441,1962,3565,1684,3029,1428,1270,1439,2102,1638,827,3172,1207,2340,1193,1367,2736,3966,1083,2155,1898,6302,1125,2286,3781,2698,2285,2313,3339,2927,2529,2729,2205,1769,3156,2642,2121,772,1889,1387,2711,1532,927,1537,1651,1279,1844,1286,2069,2081,2180,1520,1019,1730,609,1262,2609,759,1145,2087,3025,1739,1431,2395,3008,0,2104,1909,978,0,0
20210204_MNSC511_SS8614_S11_R1_001_F2,303,139191,1377,1010,737,655,1530,2238,1680,2835,1505,2556,1292,1157,1283,1805,1289,732,2581,1008,2037,1040,1174,1926,3230,993,1626,1413,4802,884,1755,3257,1831,1822,1721,2689,2457,2039,2218,1802,1508,2470,2280,1499,594,1506,1167,2231,1255,816,1197,1520,1029,1548,1027,1559,1873,1696,1444,780,1480,575,1146,2183,638,872,2126,2482,1511,1361,2177,2607,0,1213,1278,546,0,0
